2023-10-27 02:24:23,723 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:24:23,725 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:24:23,726 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:34:23,854 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:34:23,855 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:34:23,856 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:44:23,984 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:44:23,985 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:44:23,986 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:54:24,021 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:54:24,023 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:54:24,023 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:04:24,146 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:04:24,147 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:04:24,148 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:14:24,273 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:14:24,274 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:14:24,275 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:14:24,277 | DEBUG   | mqtt_device.py line=66 | (0, 12) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 03:14:24,278 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:24:24,406 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:24:24,407 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:24:24,408 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:34:24,437 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:34:24,438 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:34:24,439 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:44:24,564 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:44:24,565 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:44:24,566 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:54:24,602 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:54:24,603 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 03:54:24,604 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:04:24,739 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:04:24,740 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:04:24,741 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:14:24,869 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:14:24,871 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:14:24,871 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:14:24,873 | DEBUG   | mqtt_device.py line=66 | (0, 13) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 04:14:24,875 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:24:25,003 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:24:25,004 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:24:25,005 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:34:25,109 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:34:25,110 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 04:34:25,111 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
